# time n - 500 (ps)    time n (ps)     molecule
84000.0 84500.0   CHOL 3 840 845
173500.0 174000.0   CHOL 7 1735 1740
177000.0 177500.0   CHOL 6 1770 1775
178500.0 179000.0   CHOL 6 1785 1790
179500.0 180000.0   CHOL 7 1795 1800
181000.0 181500.0   CHOL 6 1810 1815
182500.0 183000.0   CHOL 7 1825 1830
186000.0 186500.0   CHOL 7 1860 1865
187000.0 187500.0   CHOL 6 1870 1875
190000.0 190500.0   CHOL 6 1900 1905
192500.0 193000.0   CHOL 7 1925 1930
195500.0 196000.0   CHOL 7 1955 1960
198500.0 199000.0   CHOL 7 1985 1990
203000.0 203500.0   CHOL 7 2030 2035
242000.0 242500.0   CHOL 18 2420 2425
305500.0 306000.0   CHOL 15 3055 3060
308500.0 309000.0   CHOL 15 3085 3090
365500.0 366000.0   CHOL 13 3655 3660
367500.0 368000.0   CHOL 13 3675 3680
371500.0 372000.0   CHOL 5 3715 3720
424500.0 425000.0   CHOL 6 4245 4250
427500.0 428000.0   CHOL 6 4275 4280
568500.0 569000.0   CHOL 4 5685 5690
