# frame_i frame_i+1  molecule
1780 1785   CHOL
1785 1790   CHOL
2410 2415   CHOL
2415 2420   CHOL
3585 3590   CHOL
3590 3595   CHOL
3790 3795   CHOL
3795 3800   CHOL
4100 4105   CHOL
4110 4115   CHOL
4115 4120   CHOL
4120 4125   CHOL
4125 4130   CHOL
4165 4170   CHOL
4175 4180   CHOL
4860 4865   CHOL
4865 4870   CHOL
