# time n - 500 (ps)    time n (ps)     molecule
17500.0 18000.0   CHOL 157 175 180
19000.0 19500.0   CHOL 157 190 195
80000.0 80500.0   CHOL 144 800 805
83500.0 84000.0   CHOL 144 835 840
86000.0 86500.0   CHOL 144 860 865
88500.0 89000.0   CHOL 144 885 890
197000.0 197500.0   CHOL 152 1970 1975
199000.0 199500.0   CHOL 152 1990 1995
200500.0 201000.0   CHOL 152 2005 2010
202500.0 203000.0   CHOL 152 2025 2030
526000.0 526500.0   CHOL 139 5260 5265
849000.0 849500.0   CHOL 139 8490 8495
850500.0 851000.0   CHOL 139 8505 8510
855000.0 855500.0   CHOL 139 8550 8555
863500.0 864000.0   CHOL 139 8635 8640
