# time n - 500 (ps)    time n (ps)     molecule
114000.0 114500.0   CHOL 255 1140 1145
116500.0 117000.0   CHOL 255 1165 1170
117500.0 118000.0   CHOL 255 1175 1180
118500.0 119000.0   CHOL 255 1185 1190
123000.0 123500.0   CHOL 255 1230 1235
124000.0 124500.0   CHOL 255 1240 1245
131500.0 132000.0   CHOL 255 1315 1320
132500.0 133000.0   CHOL 255 1325 1330
134500.0 135000.0   CHOL 255 1345 1350
136000.0 136500.0   CHOL 255 1360 1365
139500.0 140000.0   CHOL 255 1395 1400
142000.0 142500.0   CHOL 255 1420 1425
144500.0 145000.0   CHOL 255 1445 1450
220000.0 220500.0   CHOL 232 2200 2205
221000.0 221500.0   CHOL 232 2210 2215
223000.0 223500.0   CHOL 232 2230 2235
225000.0 225500.0   CHOL 232 2250 2255
227500.0 228000.0   CHOL 232 2275 2280
231000.0 231500.0   CHOL 232 2310 2315
232000.0 232500.0   CHOL 232 2320 2325
240000.0 240500.0   CHOL 232 2400 2405
404500.0 405000.0   CHOL 227 4045 4050
406000.0 406500.0   CHOL 227 4060 4065
407000.0 407500.0   CHOL 227 4070 4075
455500.0 456000.0   CHOL 239 4555 4560
457000.0 457500.0   CHOL 239 4570 4575
461000.0 461500.0   CHOL 239 4610 4615
463000.0 463500.0   CHOL 239 4630 4635
467000.0 467500.0   CHOL 239 4670 4675
500000.0 500500.0   CHOL 212 5000 5005
502000.0 502500.0   CHOL 212 5020 5025
503000.0 503500.0   CHOL 212 5030 5035
504500.0 505000.0   CHOL 212 5045 5050
506500.0 507000.0   CHOL 212 5065 5070
581000.0 581500.0   CHOL 286 5810 5815
582500.0 583000.0   CHOL 286 5825 5830
585500.0 586000.0   CHOL 286 5855 5860
671500.0 672000.0   CHOL 260 6715 6720
692500.0 693000.0   CHOL 275 6925 6930
693500.0 694000.0   CHOL 275 6935 6940
762500.0 763000.0   CHOL 206 7625 7630
763500.0 764000.0   CHOL 206 7635 7640
765500.0 766000.0   CHOL 206 7655 7660
773500.0 774000.0   CHOL 275 7735 7740
774500.0 775000.0   CHOL 275 7745 7750
776000.0 776500.0   CHOL 240 7760 7765
777500.0 778000.0   CHOL 240 7775 7780
781000.0 781500.0   CHOL 240 7810 7815
782000.0 782500.0   CHOL 240 7820 7825
785000.0 785500.0   CHOL 240 7850 7855
786000.0 786500.0   CHOL 240 7860 7865
787500.0 788000.0   CHOL 240 7875 7880
790500.0 791000.0   CHOL 240 7905 7910
889500.0 890000.0   CHOL 268 8895 8900
893000.0 893500.0   CHOL 268 8930 8935
