# time n - 500 (ps)    time n (ps)     molecule
10000.0 10500.0   CHOL 1 100 105
13500.0 14000.0   CHOL 1 135 140
17500.0 18000.0   CHOL 9 175 180
88500.0 89000.0   CHOL 18 885 890
99500.0 100000.0   CHOL 19 995 1000
102000.0 102500.0   CHOL 14 1020 1025
106500.0 107000.0   CHOL 14 1065 1070
107500.0 108000.0   CHOL 14 1075 1080
109500.0 110000.0   CHOL 14 1095 1100
110500.0 111000.0   CHOL 14 1105 1110
112500.0 113000.0   CHOL 14 1125 1130
115000.0 115500.0   CHOL 14 1150 1155
135500.0 136000.0   CHOL 2 1355 1360
191500.0 192000.0   CHOL 7 1915 1920
192500.0 193000.0   CHOL 7 1925 1930
194500.0 195000.0   CHOL 7 1945 1950
195500.0 196000.0   CHOL 7 1955 1960
202500.0 203000.0   CHOL 7 2025 2030
347500.0 348000.0   CHOL 21 3475 3480
