# time n - 500 (ps)    time n (ps)     molecule
500.0 1000.0   CHOL 1085 5 10
199000.0 199500.0   CHOL 1085 1990 1995
201500.0 202000.0   CHOL 1001 2015 2020
201500.0 202000.0   CHOL 1085 2015 2020
202500.0 203000.0   CHOL 1085 2025 2030
203000.0 203500.0   CHOL 1037 2030 2035
204000.0 204500.0   CHOL 1037 2040 2045
204000.0 204500.0   CHOL 1085 2040 2045
205000.0 205500.0   CHOL 1001 2050 2055
206000.0 206500.0   CHOL 1037 2060 2065
207000.0 207500.0   CHOL 1001 2070 2075
207500.0 208000.0   CHOL 1037 2075 2080
208500.0 209000.0   CHOL 1001 2085 2090
208500.0 209000.0   CHOL 1037 2085 2090
210500.0 211000.0   CHOL 1001 2105 2110
210500.0 211000.0   CHOL 1037 2105 2110
212000.0 212500.0   CHOL 1037 2120 2125
212500.0 213000.0   CHOL 1085 2125 2130
213000.0 213500.0   CHOL 1001 2130 2135
213000.0 213500.0   CHOL 1037 2130 2135
214000.0 214500.0   CHOL 1085 2140 2145
215000.0 215500.0   CHOL 1037 2150 2155
215500.0 216000.0   CHOL 1085 2155 2160
216500.0 217000.0   CHOL 1001 2165 2170
216500.0 217000.0   CHOL 1037 2165 2170
217500.0 218000.0   CHOL 995 2175 2180
218500.0 219000.0   CHOL 1001 2185 2190
218500.0 219000.0   CHOL 1085 2185 2190
219500.0 220000.0   CHOL 1040 2195 2200
221000.0 221500.0   CHOL 1037 2210 2215
221500.0 222000.0   CHOL 1001 2215 2220
223500.0 224000.0   CHOL 1001 2235 2240
228000.0 228500.0   CHOL 1085 2280 2285
228500.0 229000.0   CHOL 1001 2285 2290
229500.0 230000.0   CHOL 1037 2295 2300
230000.0 230500.0   CHOL 1085 2300 2305
230500.0 231000.0   CHOL 1037 2305 2310
231500.0 232000.0   CHOL 1085 2315 2320
232000.0 232500.0   CHOL 1037 2320 2325
233500.0 234000.0   CHOL 1001 2335 2340
235000.0 235500.0   CHOL 1001 2350 2355
236500.0 237000.0   CHOL 1001 2365 2370
237500.0 238000.0   CHOL 1085 2375 2380
240500.0 241000.0   CHOL 1037 2405 2410
242500.0 243000.0   CHOL 1037 2425 2430
245000.0 245500.0   CHOL 1037 2450 2455
246000.0 246500.0   CHOL 1085 2460 2465
248000.0 248500.0   CHOL 1037 2480 2485
248000.0 248500.0   CHOL 1085 2480 2485
248500.0 249000.0   CHOL 1001 2485 2490
249500.0 250000.0   CHOL 1037 2495 2500
250000.0 250500.0   CHOL 1001 2500 2505
251500.0 252000.0   CHOL 1037 2515 2520
253000.0 253500.0   CHOL 1037 2530 2535
254000.0 254500.0   CHOL 1085 2540 2545
254500.0 255000.0   CHOL 1037 2545 2550
255000.0 255500.0   CHOL 1085 2550 2555
257000.0 257500.0   CHOL 1001 2570 2575
258500.0 259000.0   CHOL 1001 2585 2590
259000.0 259500.0   CHOL 1003 2590 2595
260000.0 260500.0   CHOL 1001 2600 2605
261000.0 261500.0   CHOL 1003 2610 2615
262500.0 263000.0   CHOL 1037 2625 2630
263500.0 264000.0   CHOL 1001 2635 2640
266000.0 266500.0   CHOL 1003 2660 2665
266000.0 266500.0   CHOL 1037 2660 2665
271500.0 272000.0   CHOL 1128 2715 2720
273000.0 273500.0   CHOL 1037 2730 2735
273500.0 274000.0   CHOL 1128 2735 2740
276000.0 276500.0   CHOL 1037 2760 2765
276000.0 276500.0   CHOL 1128 2760 2765
278000.0 278500.0   CHOL 1128 2780 2785
279000.0 279500.0   CHOL 1037 2790 2795
279500.0 280000.0   CHOL 1128 2795 2800
281500.0 282000.0   CHOL 1037 2815 2820
282000.0 282500.0   CHOL 1128 2820 2825
283000.0 283500.0   CHOL 1037 2830 2835
284000.0 284500.0   CHOL 1128 2840 2845
287000.0 287500.0   CHOL 1037 2870 2875
287000.0 287500.0   CHOL 1128 2870 2875
294500.0 295000.0   CHOL 1128 2945 2950
295000.0 295500.0   CHOL 1149 2950 2955
296500.0 297000.0   CHOL 1128 2965 2970
296500.0 297000.0   CHOL 1149 2965 2970
300500.0 301000.0   CHOL 1128 3005 3010
301500.0 302000.0   CHOL 1128 3015 3020
302500.0 303000.0   CHOL 1041 3025 3030
303500.0 304000.0   CHOL 1041 3035 3040
304500.0 305000.0   CHOL 1128 3045 3050
305000.0 305500.0   CHOL 1041 3050 3055
306500.0 307000.0   CHOL 1041 3065 3070
306500.0 307000.0   CHOL 1128 3065 3070
309500.0 310000.0   CHOL 1041 3095 3100
309500.0 310000.0   CHOL 1149 3095 3100
311000.0 311500.0   CHOL 1128 3110 3115
312500.0 313000.0   CHOL 1128 3125 3130
314000.0 314500.0   CHOL 1128 3140 3145
316500.0 317000.0   CHOL 1128 3165 3170
323500.0 324000.0   CHOL 1128 3235 3240
327000.0 327500.0   CHOL 1128 3270 3275
328500.0 329000.0   CHOL 1128 3285 3290
332500.0 333000.0   CHOL 1128 3325 3330
334000.0 334500.0   CHOL 1128 3340 3345
335000.0 335500.0   CHOL 1128 3350 3355
336000.0 336500.0   CHOL 1128 3360 3365
338500.0 339000.0   CHOL 1128 3385 3390
341000.0 341500.0   CHOL 1128 3410 3415
342000.0 342500.0   CHOL 1128 3420 3425
345000.0 345500.0   CHOL 1128 3450 3455
348000.0 348500.0   CHOL 1128 3480 3485
350500.0 351000.0   CHOL 1128 3505 3510
352000.0 352500.0   CHOL 1128 3520 3525
354000.0 354500.0   CHOL 1129 3540 3545
354500.0 355000.0   CHOL 1070 3545 3550
356000.0 356500.0   CHOL 1128 3560 3565
359500.0 360000.0   CHOL 1128 3595 3600
370000.0 370500.0   CHOL 1113 3700 3705
371500.0 372000.0   CHOL 1113 3715 3720
373000.0 373500.0   CHOL 1070 3730 3735
375000.0 375500.0   CHOL 1113 3750 3755
392000.0 392500.0   CHOL 1071 3920 3925
424500.0 425000.0   CHOL 1040 4245 4250
425500.0 426000.0   CHOL 1040 4255 4260
434500.0 435000.0   CHOL 1040 4345 4350
446000.0 446500.0   CHOL 1125 4460 4465
