# time n - 500 (ps)    time n (ps)     molecule
60000.0 60500.0   CHOL 206 600 605
61500.0 62000.0   CHOL 206 615 620
63500.0 64000.0   CHOL 282 635 640
70000.0 70500.0   CHOL 219 700 705
109000.0 109500.0   CHOL 230 1090 1095
109500.0 110000.0   CHOL 245 1095 1100
110500.0 111000.0   CHOL 245 1105 1110
114000.0 114500.0   CHOL 245 1140 1145
115500.0 116000.0   CHOL 245 1155 1160
116500.0 117000.0   CHOL 283 1165 1170
140000.0 140500.0   CHOL 219 1400 1405
141000.0 141500.0   CHOL 219 1410 1415
272500.0 273000.0   CHOL 257 2725 2730
384000.0 384500.0   CHOL 262 3840 3845
398500.0 399000.0   CHOL 212 3985 3990
402500.0 403000.0   CHOL 212 4025 4030
404000.0 404500.0   CHOL 212 4040 4045
449500.0 450000.0   CHOL 268 4495 4500
451500.0 452000.0   CHOL 268 4515 4520
463000.0 463500.0   CHOL 208 4630 4635
465000.0 465500.0   CHOL 208 4650 4655
467000.0 467500.0   CHOL 208 4670 4675
490500.0 491000.0   CHOL 244 4905 4910
494000.0 494500.0   CHOL 244 4940 4945
552500.0 553000.0   CHOL 246 5525 5530
559000.0 559500.0   CHOL 237 5590 5595
768000.0 768500.0   CHOL 210 7680 7685
779500.0 780000.0   CHOL 219 7795 7800
842500.0 843000.0   CHOL 256 8425 8430
844000.0 844500.0   CHOL 256 8440 8445
