# time n - 500 (ps)    time n (ps)     molecule
121000.0 121500.0   CHOL 208 1210 1215
227500.0 228000.0   CHOL 270 2275 2280
405500.0 406000.0   CHOL 281 4055 4060
407000.0 407500.0   CHOL 281 4070 4075
409000.0 409500.0   CHOL 224 4090 4095
410000.0 410500.0   CHOL 224 4100 4105
410000.0 410500.0   CHOL 281 4100 4105
411000.0 411500.0   CHOL 224 4110 4115
411000.0 411500.0   CHOL 281 4110 4115
412500.0 413000.0   CHOL 224 4125 4130
413000.0 413500.0   CHOL 281 4130 4135
415000.0 415500.0   CHOL 281 4150 4155
416500.0 417000.0   CHOL 281 4165 4170
418500.0 419000.0   CHOL 281 4185 4190
422000.0 422500.0   CHOL 281 4220 4225
494500.0 495000.0   CHOL 220 4945 4950
