# time n - 500 (ps)    time n (ps)     molecule
78000.0 78500.0   CHOL 1 780 785
80000.0 80500.0   CHOL 1 800 805
86000.0 86500.0   CHOL 26 860 865
87000.0 87500.0   CHOL 26 870 875
89000.0 89500.0   CHOL 26 890 895
140500.0 141000.0   CHOL 8 1405 1410
276500.0 277000.0   CHOL 8 2765 2770
279000.0 279500.0   CHOL 8 2790 2795
301500.0 302000.0   CHOL 21 3015 3020
363000.0 363500.0   CHOL 17 3630 3635
408500.0 409000.0   CHOL 15 4085 4090
621000.0 621500.0   CHOL 9 6210 6215
650000.0 650500.0   CHOL 26 6500 6505
653000.0 653500.0   CHOL 26 6530 6535
851000.0 851500.0   CHOL 17 8510 8515
935000.0 935500.0   CHOL 24 9350 9355
