# time n - 500 (ps)    time n (ps)     molecule
15000.0 15500.0   CHOL 274 150 155
17000.0 17500.0   CHOL 274 170 175
19500.0 20000.0   CHOL 274 195 200
20500.0 21000.0   CHOL 274 205 210
22000.0 22500.0   CHOL 274 220 225
26000.0 26500.0   CHOL 236 260 265
33500.0 34000.0   CHOL 274 335 340
66000.0 66500.0   CHOL 213 660 665
67500.0 68000.0   CHOL 213 675 680
69000.0 69500.0   CHOL 213 690 695
70000.0 70500.0   CHOL 213 700 705
73500.0 74000.0   CHOL 213 735 740
78000.0 78500.0   CHOL 213 780 785
79500.0 80000.0   CHOL 213 795 800
81000.0 81500.0   CHOL 213 810 815
83000.0 83500.0   CHOL 213 830 835
85500.0 86000.0   CHOL 213 855 860
90000.0 90500.0   CHOL 213 900 905
91500.0 92000.0   CHOL 213 915 920
92500.0 93000.0   CHOL 213 925 930
96000.0 96500.0   CHOL 213 960 965
98500.0 99000.0   CHOL 213 985 990
105000.0 105500.0   CHOL 213 1050 1055
107500.0 108000.0   CHOL 213 1075 1080
109500.0 110000.0   CHOL 213 1095 1100
113000.0 113500.0   CHOL 241 1130 1135
114000.0 114500.0   CHOL 241 1140 1145
116000.0 116500.0   CHOL 241 1160 1165
120500.0 121000.0   CHOL 213 1205 1210
122000.0 122500.0   CHOL 213 1220 1225
123500.0 124000.0   CHOL 213 1235 1240
132000.0 132500.0   CHOL 241 1320 1325
134000.0 134500.0   CHOL 241 1340 1345
135500.0 136000.0   CHOL 241 1355 1360
136500.0 137000.0   CHOL 241 1365 1370
142000.0 142500.0   CHOL 222 1420 1425
143000.0 143500.0   CHOL 241 1430 1435
147500.0 148000.0   CHOL 222 1475 1480
149000.0 149500.0   CHOL 222 1490 1495
151500.0 152000.0   CHOL 222 1515 1520
153000.0 153500.0   CHOL 241 1530 1535
154000.0 154500.0   CHOL 241 1540 1545
154500.0 155000.0   CHOL 222 1545 1550
156000.0 156500.0   CHOL 241 1560 1565
157000.0 157500.0   CHOL 222 1570 1575
159000.0 159500.0   CHOL 222 1590 1595
160500.0 161000.0   CHOL 222 1605 1610
162000.0 162500.0   CHOL 222 1620 1625
