# time n - 500 (ps)    time n (ps)     molecule
23000.0 23500.0   CHOL 1137 230 235
32000.0 32500.0   CHOL 1045 320 325
123500.0 124000.0   CHOL 1091 1235 1240
125500.0 126000.0   CHOL 1091 1255 1260
126500.0 127000.0   CHOL 1091 1265 1270
141000.0 141500.0   CHOL 1150 1410 1415
206500.0 207000.0   CHOL 1044 2065 2070
208500.0 209000.0   CHOL 1044 2085 2090
210000.0 210500.0   CHOL 1044 2100 2105
214000.0 214500.0   CHOL 1044 2140 2145
216500.0 217000.0   CHOL 1044 2165 2170
225500.0 226000.0   CHOL 1044 2255 2260
230500.0 231000.0   CHOL 1044 2305 2310
231500.0 232000.0   CHOL 1044 2315 2320
232500.0 233000.0   CHOL 1044 2325 2330
234000.0 234500.0   CHOL 1044 2340 2345
241500.0 242000.0   CHOL 1044 2415 2420
243000.0 243500.0   CHOL 1044 2430 2435
245000.0 245500.0   CHOL 1044 2450 2455
246000.0 246500.0   CHOL 1044 2460 2465
247500.0 248000.0   CHOL 1044 2475 2480
248500.0 249000.0   CHOL 1044 2485 2490
249500.0 250000.0   CHOL 1044 2495 2500
251000.0 251500.0   CHOL 1044 2510 2515
253500.0 254000.0   CHOL 1044 2535 2540
256500.0 257000.0   CHOL 1044 2565 2570
325500.0 326000.0   CHOL 1115 3255 3260
327000.0 327500.0   CHOL 1115 3270 3275
329500.0 330000.0   CHOL 1115 3295 3300
331500.0 332000.0   CHOL 1115 3315 3320
333500.0 334000.0   CHOL 1115 3335 3340
341500.0 342000.0   CHOL 1114 3415 3420
379500.0 380000.0   CHOL 1060 3795 3800
420500.0 421000.0   CHOL 1082 4205 4210
421500.0 422000.0   CHOL 1082 4215 4220
432500.0 433000.0   CHOL 1102 4325 4330
433500.0 434000.0   CHOL 1102 4335 4340
439500.0 440000.0   CHOL 1106 4395 4400
442000.0 442500.0   CHOL 1106 4420 4425
443500.0 444000.0   CHOL 1106 4435 4440
458500.0 459000.0   CHOL 1084 4585 4590
462500.0 463000.0   CHOL 1084 4625 4630
463500.0 464000.0   CHOL 1084 4635 4640
467500.0 468000.0   CHOL 1084 4675 4680
470000.0 470500.0   CHOL 1084 4700 4705
470500.0 471000.0   CHOL 1071 4705 4710
474000.0 474500.0   CHOL 1084 4740 4745
