# time n - 500 (ps)    time n (ps)     molecule
47500.0 48000.0   CHOL 241 475 480
91500.0 92000.0   CHOL 231 915 920
92500.0 93000.0   CHOL 231 925 930
95000.0 95500.0   CHOL 231 950 955
96000.0 96500.0   CHOL 231 960 965
122500.0 123000.0   CHOL 215 1225 1230
124500.0 125000.0   CHOL 215 1245 1250
149000.0 149500.0   CHOL 267 1490 1495
151000.0 151500.0   CHOL 267 1510 1515
153000.0 153500.0   CHOL 267 1530 1535
155000.0 155500.0   CHOL 245 1550 1555
159500.0 160000.0   CHOL 267 1595 1600
160500.0 161000.0   CHOL 267 1605 1610
