# time n - 500 (ps)    time n (ps)     molecule
1500.0 2000.0   CHOL 242 15 20
2000.0 2500.0   CHOL 261 20 25
3000.0 3500.0   CHOL 261 30 35
8500.0 9000.0   CHOL 283 85 90
13000.0 13500.0   CHOL 283 130 135
16500.0 17000.0   CHOL 283 165 170
19000.0 19500.0   CHOL 283 190 195
22000.0 22500.0   CHOL 283 220 225
23500.0 24000.0   CHOL 283 235 240
25000.0 25500.0   CHOL 283 250 255
27000.0 27500.0   CHOL 283 270 275
28000.0 28500.0   CHOL 283 280 285
29500.0 30000.0   CHOL 283 295 300
31500.0 32000.0   CHOL 283 315 320
