# time n - 500 (ps)    time n (ps)     molecule
70000.0 70500.0   CHOL 1808 4000 4050
74000.0 74500.0   CHOL 1808 4400 4450
77500.0 78000.0   CHOL 1808 4750 4800
79000.0 79500.0   CHOL 1808 4900 4950
