# time n - 500 (ps)    time n (ps)     molecule
3000.0 3500.0   CHOL 19 30 35
10000.0 10500.0   CHOL 19 100 105
12000.0 12500.0   CHOL 19 120 125
15000.0 15500.0   CHOL 19 150 155
16000.0 16500.0   CHOL 19 160 165
17000.0 17500.0   CHOL 19 170 175
21500.0 22000.0   CHOL 19 215 220
23000.0 23500.0   CHOL 19 230 235
25000.0 25500.0   CHOL 19 250 255
373500.0 374000.0   CHOL 16 3735 3740
376500.0 377000.0   CHOL 16 3765 3770
378500.0 379000.0   CHOL 16 3785 3790
384000.0 384500.0   CHOL 14 3840 3845
384500.0 385000.0   CHOL 16 3845 3850
387500.0 388000.0   CHOL 16 3875 3880
389000.0 389500.0   CHOL 16 3890 3895
390500.0 391000.0   CHOL 16 3905 3910
393000.0 393500.0   CHOL 14 3930 3935
396500.0 397000.0   CHOL 16 3965 3970
398000.0 398500.0   CHOL 16 3980 3985
399500.0 400000.0   CHOL 16 3995 4000
401500.0 402000.0   CHOL 16 4015 4020
405500.0 406000.0   CHOL 16 4055 4060
774500.0 775000.0   CHOL 1 7745 7750
777000.0 777500.0   CHOL 1 7770 7775
1126000.0 1126500.0   CHOL 9 11260 11265
1130500.0 1131000.0   CHOL 9 11305 11310
1135000.0 1135500.0   CHOL 9 11350 11355
1137000.0 1137500.0   CHOL 9 11370 11375
1138000.0 1138500.0   CHOL 9 11380 11385
1140000.0 1140500.0   CHOL 9 11400 11405
1144000.0 1144500.0   CHOL 9 11440 11445
1378000.0 1378500.0   CHOL 1 13780 13785
1381500.0 1382000.0   CHOL 1 13815 13820
1382500.0 1383000.0   CHOL 1 13825 13830
1660500.0 1661000.0   CHOL 11 16605 16610
1834000.0 1834500.0   CHOL 15 18340 18345
1835500.0 1836000.0   CHOL 15 18355 18360
1837000.0 1837500.0   CHOL 15 18370 18375
1839500.0 1840000.0   CHOL 15 18395 18400
1914500.0 1915000.0   CHOL 12 19145 19150
1915500.0 1916000.0   CHOL 12 19155 19160
