# time n - 500 (ps)    time n (ps)     molecule
80500.0 81000.0   CHOL 234 805 810
82500.0 83000.0   CHOL 234 825 830
84500.0 85000.0   CHOL 234 845 850
88500.0 89000.0   CHOL 234 885 890
90000.0 90500.0   CHOL 234 900 905
97000.0 97500.0   CHOL 234 970 975
99000.0 99500.0   CHOL 234 990 995
101000.0 101500.0   CHOL 234 1010 1015
106500.0 107000.0   CHOL 234 1065 1070
107500.0 108000.0   CHOL 234 1075 1080
110500.0 111000.0   CHOL 234 1105 1110
112500.0 113000.0   CHOL 234 1125 1130
113500.0 114000.0   CHOL 234 1135 1140
121500.0 122000.0   CHOL 234 1215 1220
122500.0 123000.0   CHOL 234 1225 1230
129500.0 130000.0   CHOL 234 1295 1300
131500.0 132000.0   CHOL 234 1315 1320
147500.0 148000.0   CHOL 234 1475 1480
150000.0 150500.0   CHOL 234 1500 1505
163000.0 163500.0   CHOL 234 1630 1635
167500.0 168000.0   CHOL 234 1675 1680
169500.0 170000.0   CHOL 234 1695 1700
176000.0 176500.0   CHOL 234 1760 1765
178500.0 179000.0   CHOL 234 1785 1790
184500.0 185000.0   CHOL 234 1845 1850
185500.0 186000.0   CHOL 234 1855 1860
187500.0 188000.0   CHOL 234 1875 1880
190500.0 191000.0   CHOL 234 1905 1910
194000.0 194500.0   CHOL 234 1940 1945
198000.0 198500.0   CHOL 234 1980 1985
