# time n - 500 (ps)    time n (ps)     molecule
74000.0 74500.0   CHOL 217 740 745
76000.0 76500.0   CHOL 217 760 765
85000.0 85500.0   CHOL 243 850 855
86000.0 86500.0   CHOL 243 860 865
120000.0 120500.0   CHOL 242 1200 1205
122000.0 122500.0   CHOL 242 1220 1225
123500.0 124000.0   CHOL 242 1235 1240
125000.0 125500.0   CHOL 242 1250 1255
245000.0 245500.0   CHOL 204 2450 2455
362000.0 362500.0   CHOL 242 3620 3625
365000.0 365500.0   CHOL 248 3650 3655
371000.0 371500.0   CHOL 248 3710 3715
479500.0 480000.0   CHOL 244 4795 4800
481000.0 481500.0   CHOL 244 4810 4815
483000.0 483500.0   CHOL 244 4830 4835
484500.0 485000.0   CHOL 244 4845 4850
485500.0 486000.0   CHOL 244 4855 4860
487000.0 487500.0   CHOL 244 4870 4875
490500.0 491000.0   CHOL 244 4905 4910
494500.0 495000.0   CHOL 244 4945 4950
