# time n - 500 (ps)    time n (ps)     molecule
67000.0 67500.0   CHOL 326 670 675
68000.0 68500.0   CHOL 326 680 685
70000.0 70500.0   CHOL 326 700 705
72500.0 73000.0   CHOL 326 725 730
76000.0 76500.0   CHOL 326 760 765
108000.0 108500.0   CHOL 260 1080 1085
109000.0 109500.0   CHOL 260 1090 1095
144500.0 145000.0   CHOL 331 1445 1450
146500.0 147000.0   CHOL 331 1465 1470
148000.0 148500.0   CHOL 331 1480 1485
151500.0 152000.0   CHOL 331 1515 1520
156000.0 156500.0   CHOL 331 1560 1565
158000.0 158500.0   CHOL 331 1580 1585
160500.0 161000.0   CHOL 331 1605 1610
163500.0 164000.0   CHOL 331 1635 1640
165000.0 165500.0   CHOL 331 1650 1655
166000.0 166500.0   CHOL 331 1660 1665
167500.0 168000.0   CHOL 331 1675 1680
170500.0 171000.0   CHOL 331 1705 1710
173000.0 173500.0   CHOL 331 1730 1735
174000.0 174500.0   CHOL 331 1740 1745
176000.0 176500.0   CHOL 331 1760 1765
184500.0 185000.0   CHOL 331 1845 1850
186000.0 186500.0   CHOL 331 1860 1865
187500.0 188000.0   CHOL 331 1875 1880
188500.0 189000.0   CHOL 331 1885 1890
189500.0 190000.0   CHOL 331 1895 1900
190500.0 191000.0   CHOL 331 1905 1910
192000.0 192500.0   CHOL 331 1920 1925
193000.0 193500.0   CHOL 331 1930 1935
196500.0 197000.0   CHOL 331 1965 1970
197500.0 198000.0   CHOL 331 1975 1980
201000.0 201500.0   CHOL 331 2010 2015
204000.0 204500.0   CHOL 331 2040 2045
400000.0 400500.0   CHOL 260 4000 4005
405500.0 406000.0   CHOL 260 4055 4060
498000.0 498500.0   CHOL 297 4980 4985
499000.0 499500.0   CHOL 297 4990 4995
