# time n - 500 (ps)    time n (ps)     molecule
1000.0 1500.0   CHOL 220 10 15
2000.0 2500.0   CHOL 220 20 25
6000.0 6500.0   CHOL 220 60 65
8000.0 8500.0   CHOL 220 80 85
9500.0 10000.0   CHOL 220 95 100
10500.0 11000.0   CHOL 220 105 110
127000.0 127500.0   CHOL 220 1270 1275
129000.0 129500.0   CHOL 220 1290 1295
130500.0 131000.0   CHOL 220 1305 1310
170000.0 170500.0   CHOL 248 1700 1705
172000.0 172500.0   CHOL 248 1720 1725
180500.0 181000.0   CHOL 214 1805 1810
182000.0 182500.0   CHOL 214 1820 1825
183500.0 184000.0   CHOL 214 1835 1840
186000.0 186500.0   CHOL 214 1860 1865
226500.0 227000.0   CHOL 221 2265 2270
229000.0 229500.0   CHOL 221 2290 2295
230000.0 230500.0   CHOL 221 2300 2305
231500.0 232000.0   CHOL 221 2315 2320
232500.0 233000.0   CHOL 221 2325 2330
236000.0 236500.0   CHOL 221 2360 2365
239000.0 239500.0   CHOL 221 2390 2395
241500.0 242000.0   CHOL 221 2415 2420
244000.0 244500.0   CHOL 208 2440 2445
244500.0 245000.0   CHOL 221 2445 2450
247000.0 247500.0   CHOL 221 2470 2475
248000.0 248500.0   CHOL 221 2480 2485
249000.0 249500.0   CHOL 221 2490 2495
250500.0 251000.0   CHOL 208 2505 2510
250500.0 251000.0   CHOL 221 2505 2510
251500.0 252000.0   CHOL 208 2515 2520
252000.0 252500.0   CHOL 221 2520 2525
254500.0 255000.0   CHOL 208 2545 2550
254500.0 255000.0   CHOL 221 2545 2550
256000.0 256500.0   CHOL 221 2560 2565
258500.0 259000.0   CHOL 221 2585 2590
352500.0 353000.0   CHOL 238 3525 3530
353500.0 354000.0   CHOL 238 3535 3540
430000.0 430500.0   CHOL 218 4300 4305
430000.0 430500.0   CHOL 226 4300 4305
431000.0 431500.0   CHOL 218 4310 4315
432000.0 432500.0   CHOL 226 4320 4325
433000.0 433500.0   CHOL 226 4330 4335
434000.0 434500.0   CHOL 218 4340 4345
437500.0 438000.0   CHOL 226 4375 4380
438500.0 439000.0   CHOL 226 4385 4390
442000.0 442500.0   CHOL 226 4420 4425
443500.0 444000.0   CHOL 226 4435 4440
446000.0 446500.0   CHOL 226 4460 4465
488500.0 489000.0   CHOL 223 4885 4890
