# time n - 500 (ps)    time n (ps)     molecule
1000.0 1500.0   CHOL 220 10 15
3500.0 4000.0   CHOL 220 35 40
5500.0 6000.0   CHOL 220 55 60
6500.0 7000.0   CHOL 220 65 70
7500.0 8000.0   CHOL 220 75 80
10500.0 11000.0   CHOL 220 105 110
12000.0 12500.0   CHOL 220 120 125
13000.0 13500.0   CHOL 220 130 135
15500.0 16000.0   CHOL 220 155 160
17500.0 18000.0   CHOL 220 175 180
21500.0 22000.0   CHOL 220 215 220
24500.0 25000.0   CHOL 220 245 250
47000.0 47500.0   CHOL 206 470 475
49500.0 50000.0   CHOL 206 495 500
51000.0 51500.0   CHOL 206 510 515
52000.0 52500.0   CHOL 206 520 525
53000.0 53500.0   CHOL 206 530 535
54000.0 54500.0   CHOL 206 540 545
55500.0 56000.0   CHOL 206 555 560
65000.0 65500.0   CHOL 206 650 655
67500.0 68000.0   CHOL 206 675 680
69500.0 70000.0   CHOL 206 695 700
71000.0 71500.0   CHOL 206 710 715
72000.0 72500.0   CHOL 206 720 725
97000.0 97500.0   CHOL 233 970 975
98500.0 99000.0   CHOL 233 985 990
100500.0 101000.0   CHOL 233 1005 1010
102000.0 102500.0   CHOL 233 1020 1025
104500.0 105000.0   CHOL 233 1045 1050
